ID,CENTER,FY,SIC,NAICS,STATE,ANNUAL_SALES,EMPLOYEES,PLANT_AREA,ANNUAL_ELECTRICITY_COST,TOTAL_RECC_IMP_COST,TOTAL_RECC_SAVINGS,ROI_YRS,PRODUCTS,PRODUNITS,PRODLEVEL,PRODHOURS,NUMARS,num_reccs,ARC2,IMPSTATUS
SD0312,SD,2003,3732.0,336612.0,CA,12000000.0,125.0,95000.0,86880.0,21400.0,28599.0,0.7482779118150984,Boat,1.0,3.0,2338.0,5,5,"2.7134,2.4231,2.4236,2.6218,3.6193","N,N,N,I,N"
SD0313,SD,2003,3354.0,331318.0,CA,24000000.0,50.0,65000.0,417151.0,66785.0,111103.0,0.6011088809483093,Aliminum Extrusion,2.0,18000000.0,6000.0,8,8,"2.1311,2.4146,2.4146,2.7111,4.652,2.4236,2.2437,3.6193","N,N,N,N,N,I,N,N"
SD0314,SD,2003,3851.0,339115.0,CA,440000000.0,1700.0,520000.0,2644699.0,285864.0,337392.0,0.8472755726276853,meters & controllers,1.0,5000000.0,6100.0,12,12,"2.1311,2.4146,2.4146,2.5194,2.4146,2.7144,2.7111,2.7135,2.2511,2.2511,2.4231,4.446","N,N,N,N,N,N,I,I,N,I,N,N"
SD0315,SD,2003,3053.0,339991.0,CA,20000000.0,150.0,35000.0,570028.0,153276.0,229412.0,0.668125468589263,O rings,1.0,6000000.0,6000.0,12,12,"2.1311,2.2522,4.652,2.7145,2.6218,3.7311,2.7144,2.4146,2.7135,2.4231,3.6193,4.652","N,N,I,P,I,N,N,I,I,I,N,I"
SD0316,SD,2003,2037.0,311411.0,CA,10000000.0,55.0,44500.0,404896.0,64850.0,70583.0,0.9187764759219642,Frozen Fruits/Vegetables,2.0,42500000.0,6000.0,7,7,"2.4146,2.4231,2.4236,2.7145,3.3128,3.6193,3.4111","N,I,I,N,N,N,N"
SD0317,SD,2003,3259.0,327120.0,CA,10000000.0,80.0,80000.0,383796.0,30866.0,48808.0,0.6323963284707425,Clay Roofing Tile,1.0,2500000.0,6188.0,7,7,"2.4321,2.4146,2.6218,2.4236,2.4146,2.7145,3.6193","N,N,N,N,N,N,N"
SD0318,SD,2003,3053.0,339991.0,CA,15000000.0,744.0,86400.0,287854.0,123980.0,78582.0,1.577714998345677,O-rings,1.0,3170000.0,2125.0,7,7,"2.1311,2.2614,2.7145,2.4239,2.7142,2.4236,3.6193","N,N,N,I,N,I,N"
SD0319,SD,2003,3061.0,326291.0,CA,50000000.0,600.0,290000.0,2458901.0,206525.0,639009.0,0.32319576093607444,plastic and rubber products,2.0,500000.0,6000.0,19,19,"2.4146,2.1311,2.4146,2.6218,2.2113,2.4146,2.4321,2.4231,2.2135,2.6218,2.4236,2.7145,2.6218,2.7135,2.2153,3.1192,3.1192,3.1192,3.6193","N,N,N,N,I,N,N,N,N,I,N,N,I,N,I,I,N,N,I"
SD0320,SD,2003,3444.0,324122.0,CA,49900000.0,100.0,60000.0,216194.0,15968.0,74863.0,0.21329628788587152,Stone coated steel roofing,1.0,3200000.0,6000.0,10,10,"2.4231,2.4236,2.4131,2.6218,2.7142,2.7261,2.7142,2.7134,4.111,3.5316","I,I,N,I,I,I,I,N,I,N"
SD0321,SD,2003,3053.0,339991.0,CA,50000000.0,120.0,70000.0,236672.0,57282.0,99263.0,0.5770730282179665,Seals,1.0,5000000.0,6000.0,7,7,"2.1311,2.6218,2.4239,2.4231,2.2614,2.7134,3.6193","N,I,N,N,N,N,N"
